GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1297792278,20260406,202604,2026,2026.2630,,,,,,,,,,,IRN,IRAN,IRN,,,,,,,,1,130,130,13,3,-4.4,3,1,3,-5.44488711819389,0,,,,,,,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,20260406,http://www.shanghainews.net/news/278959451/this-is-a-catastrophe-geopolitical-risk-advisor-col-retd-douglas-macgregor-tears-into-trump-iran-speech
1297792292,20260406,202604,2026,2026.2630,,,,,,,,,,,MED,JOURNALIST,,,,,,MED,,,1,112,112,11,3,-2.0,5,1,5,-6.33484162895928,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20260406,https://www.barandbench.com/news/delhi-hc-rejects-journalists-plea-against-removal-of-x-post-identifying-man-who-harassed-her-on-flight
1297792358,20260406,202604,2026,2026.2630,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,051,051,05,1,3.4,25,2,25,2.45047828986303,1,India,IN,IN,20,77,IN,0,,,,,,,1,India,IN,IN,20,77,IN,20260406,http://www.shanghainews.net/news/278960069/myhealthcare-technologies-appoints-prashant-naidu-as-its-chief-business-officer-to-accelerate-market-expansion-across-india
1297792362,20260406,202604,2026,2026.2630,BUS,BUSINESS,,,,,,BUS,,,,,,,,,,,,,1,110,110,11,3,-2.0,30,3,30,-0.62606625722389,1,India,IN,IN,20,77,IN,0,,,,,,,1,India,IN,IN,20,77,IN,20260406,https://www.vindy.com/news/local-news/2026/04/boardman-fire-crews-called-to-plaza-fire/
1297792367,20260406,202604,2026,2026.2630,BUS,TANKER,,,,,,BUS,,,EUR,EUROPE,EUR,,,,,,,,1,042,042,04,1,1.9,3,1,3,-5.44488711819389,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,4,"New Delhi, Delhi, India",IN,IN07,28.6,77.2,-2106102,20260406,http://www.shanghainews.net/news/278959451/this-is-a-catastrophe-geopolitical-risk-advisor-col-retd-douglas-macgregor-tears-into-trump-iran-speech
1297792403,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,070,070,07,2,7.0,4,1,4,1.72642762284197,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,0,,,,,,,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,20260406,https://www.thehindu.com/news/national/tamil-nadu/panchaloha-idols-made-without-a-drop-of-gold-madras-high-court-stays-case-before-kancheepuram-court/article70828911.ece
1297792404,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,070,070,07,2,7.0,6,1,6,1.72642762284197,4,"Chennai, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,0,,,,,,,4,"Chennai, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,20260406,https://www.thehindu.com/news/national/tamil-nadu/panchaloha-idols-made-without-a-drop-of-gold-madras-high-court-stays-case-before-kancheepuram-court/article70828911.ece
1297792417,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,GOV,SOVEREIGN,,,,,,GOV,,,0,070,070,07,2,7.0,2,1,2,1.72642762284197,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,20260406,https://www.thehindu.com/news/national/tamil-nadu/panchaloha-idols-made-without-a-drop-of-gold-madras-high-court-stays-case-before-kancheepuram-court/article70828911.ece
1297792418,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,GOV,SOVEREIGN,,,,,,GOV,,,0,070,070,07,2,7.0,2,1,2,1.72642762284197,4,"Kancheepuram, Tamil Nadu, India",IN,IN25,12.8333,79.7167,-2099397,4,"Madras, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,4,"Madras, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,20260406,https://www.thehindu.com/news/national/tamil-nadu/panchaloha-idols-made-without-a-drop-of-gold-madras-high-court-stays-case-before-kancheepuram-court/article70828911.ece
1297792419,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,GOV,SOVEREIGN,,,,,,GOV,,,0,070,070,07,2,7.0,6,1,6,1.72642762284197,4,"Madras, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,4,"Madras, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,4,"Madras, Tamil Nadu, India",IN,IN25,13.0833,80.2833,-2103041,20260406,https://www.thehindu.com/news/national/tamil-nadu/panchaloha-idols-made-without-a-drop-of-gold-madras-high-court-stays-case-before-kancheepuram-court/article70828911.ece
